,Close,ds,yhat,yhat_lower,yhat_upper,10sma,50sma
0,1.3224200010299683,2023-08-01 07:00:00,1.3250119857280895,1.3233523508844478,1.3266297252392543,,
1,1.3244099617004395,2023-08-01 08:00:00,1.3253743432166827,1.323761425727165,1.3268735234897864,,
2,1.3253599405288696,2023-08-01 09:00:00,1.32569385567845,1.3241778603763636,1.3272930385532784,,
3,1.325909972190857,2023-08-01 10:00:00,1.3260042794164995,1.3243019256723063,1.327719405494654,,
4,1.326159954071045,2023-08-01 11:00:00,1.3263455031432723,1.324667693404446,1.3280298914542439,,
5,1.3272099494934082,2023-08-01 12:00:00,1.3267131062807882,1.3251023666853665,1.328271561830185,,
6,1.3293999433517456,2023-08-01 13:00:00,1.3270497466209175,1.3254896662885818,1.3287374958337113,,
7,1.3281699419021606,2023-08-01 14:00:00,1.3272925273018148,1.3256964719924327,1.3288920255582928,,
8,1.3282599449157715,2023-08-01 15:00:00,1.3274331521907545,1.325826669427125,1.3290539766073797,,
9,1.3288999795913696,2023-08-01 16:00:00,1.327531110151863,1.3259087255977882,1.3290808041756463,1.3264449609729132,
10,1.3296200037002563,2023-08-01 17:00:00,1.327663133077211,1.3260162032966207,1.3291700159288578,1.3267100757078254,
11,1.3293999433517456,2023-08-01 18:00:00,1.3278540944154962,1.3263357821495565,1.329525356489317,1.3269580508277066,
12,1.3290599584579468,2023-08-01 19:00:00,1.3280545051260972,1.326599359988121,1.329690733016675,1.3271941157724714,
13,1.3288099765777588,2023-08-01 20:00:00,1.328186985541432,1.326524814480626,1.3299402015068122,1.3274123863849647,
14,1.3279900550842285,2023-08-01 21:00:00,1.3282190443198998,1.3265438203715374,1.3297885474907805,1.3275997405026274,
15,1.3263800144195557,2023-08-01 22:00:00,1.3281948522739957,1.3266115890331251,1.3298438133293775,1.327747915101948,
16,1.3265999555587769,2023-08-01 23:00:00,1.3281980344546567,1.326544322829313,1.329816892713565,1.3278627438853223,
17,1.3269100189208984,2023-08-02 00:00:00,1.3282823652599465,1.3267138580425695,1.3298340431194375,1.3279617276811353,
18,1.3277000188827515,2023-08-02 01:00:00,1.3284351149517448,1.32687559082738,1.330040742218985,1.3280619239572344,
19,1.3273999691009521,2023-08-02 02:00:00,1.3287501008463034,1.3271649241504895,1.3302722446949655,1.3281838230266785,
20,1.3289400339126587,2023-08-02 03:00:00,1.3290450474292315,1.3275492547186678,1.3305632665030172,1.3283220144618804,
21,1.3288899660110474,2023-08-02 04:00:00,1.3293331750200343,1.32781138750343,1.3309914929983333,1.3284699225223342,
22,1.3294999599456787,2023-08-02 05:00:00,1.3296531130530547,1.3281135128035284,1.3312891696911937,1.32862978331503,
23,1.3294600248336792,2023-08-02 06:00:00,1.3300206088049542,1.3284230634178154,1.331518777553277,1.3288131456413823,
24,1.330399990081787,2023-08-02 07:00:00,1.3304082586101649,1.3287702760200037,1.3319512850954196,1.3290320670704088,
25,1.3304799795150757,2023-08-02 08:00:00,1.330774556943911,1.3292179369762822,1.3324675292818338,1.3292900375374004,
26,1.3312100172042847,2023-08-02 09:00:00,1.3311101173499764,1.329549572031848,1.3326380409425251,1.329581245826932,
27,1.3310999870300293,2023-08-02 10:00:00,1.3314496959064546,1.3298374664366166,1.3330557525775344,1.329897978891583,
28,1.330680012702942,2023-08-02 11:00:00,1.3318340381704699,1.330313236326639,1.3333601334934413,1.3302378712134555,
29,1.3316500186920166,2023-08-02 12:00:00,1.332259429395029,1.3306240254742872,1.3338973733107722,1.330588804068328,
30,1.3315199613571167,2023-08-02 13:00:00,1.3326690759747912,1.331017481364954,1.3342491873558988,1.330951206922884,
