,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
306,2023-09-25 12:00:00,1.3496424285039836,1.3447079598829732,1.348768742874947,1.3496424285039836,1.3496424285039836,-0.0029158680981818297,-0.0029158680981818297,-0.0029158680981818297,-0.00026291406363536575,-0.00026291406363536575,-0.00026291406363536575,-0.0026529540345464637,-0.0026529540345464637,-0.0026529540345464637,0.0,0.0,0.0,1.3467265604058019
307,2023-09-25 13:00:00,1.3492980487716926,1.3445870764211105,1.348364151480564,1.3492980487716926,1.3492980487716926,-0.002701910316366103,-0.002701910316366103,-0.002701910316366103,-0.00029165105552074526,-0.00029165105552074526,-0.00029165105552074526,-0.002410259260845358,-0.002410259260845358,-0.002410259260845358,0.0,0.0,0.0,1.3465961384553264
308,2023-09-25 14:00:00,1.3489536690394017,1.34457232162826,1.34828905723021,1.3489536690394017,1.3489536690394017,-0.002450605308366831,-0.002450605308366831,-0.002450605308366831,-0.0003038897131900513,-0.0003038897131900513,-0.0003038897131900513,-0.00214671559517678,-0.00214671559517678,-0.00214671559517678,0.0,0.0,0.0,1.346503063731035
309,2023-09-25 15:00:00,1.3486092893071104,1.3444576050701311,1.3484176176629201,1.3486092893071104,1.3486092893071104,-0.002145726062139093,-0.002145726062139093,-0.002145726062139093,-0.0002800456195225177,-0.0002800456195225177,-0.0002800456195225177,-0.0018656804426165753,-0.0018656804426165753,-0.0018656804426165753,0.0,0.0,0.0,1.3464635632449713
310,2023-09-25 16:00:00,1.3482649095748194,1.3446303558077097,1.348474190332025,1.3482649095748194,1.3482649095748194,-0.0017506296134122763,-0.0017506296134122763,-0.0017506296134122763,-0.00018001992259112918,-0.00018001992259112918,-0.00018001992259112918,-0.0015706096908211474,-0.0015706096908211474,-0.0015706096908211474,0.0,0.0,0.0,1.3465142799614072
311,2023-09-25 17:00:00,1.3479205298425283,1.3445957331194607,1.3486733975401974,1.3479205298425283,1.3479205298425283,-0.001263330903760761,-0.001263330903760761,-0.001263330903760761,1.683705766346037e-06,1.683705766346037e-06,1.683705766346037e-06,-0.001265014609527107,-0.001265014609527107,-0.001265014609527107,0.0,0.0,0.0,1.3466571989387675
312,2023-09-25 18:00:00,1.3475761501102372,1.3449217091598826,1.3486668888730646,1.3475761501102372,1.3475761501102372,-0.0007535413887782666,-0.0007535413887782666,-0.0007535413887782666,0.00019887743791301482,0.00019887743791301482,0.00019887743791301482,-0.0009524188266912815,-0.0009524188266912815,-0.0009524188266912815,0.0,0.0,0.0,1.346822608721459
313,2023-09-25 19:00:00,1.347231770377946,1.3450683741604943,1.3488971794937445,1.347231770377946,1.347231770377946,-0.0003320708010615457,-0.0003320708010615457,-0.0003320708010615457,0.00030424511504109105,0.00030424511504109105,0.00030424511504109105,-0.0006363159161026369,-0.0006363159161026369,-0.0006363159161026369,0.0,0.0,0.0,1.3468996995768845
314,2023-09-25 20:00:00,1.3468873906456549,1.3449229922323611,1.3489310045861662,1.3468873906456549,1.3468873906456549,-6.799547872462264e-05,-6.799547872462264e-05,-6.799547872462264e-05,0.00025213263986010155,0.00025213263986010155,0.00025213263986010155,-0.0003201281185847242,-0.0003201281185847242,-0.0003201281185847242,0.0,0.0,0.0,1.3468193951669303
315,2023-09-25 21:00:00,1.3465430109133638,1.3446352364546805,1.3486810964606082,1.3465430109133638,1.3465430109133638,7.386226667800516e-05,7.386226667800516e-05,7.386226667800516e-05,8.102896775406159e-05,8.102896775406159e-05,8.102896775406159e-05,-7.16670107605635e-06,-7.16670107605635e-06,-7.16670107605635e-06,0.0,0.0,0.0,1.3466168731800419
316,2023-09-25 22:00:00,1.3461986311810727,1.3443405322406639,1.3483634714886197,1.3461986311810727,1.3461986311810727,0.00021287129693869068,0.00021287129693869068,0.00021287129693869068,-8.653427023351777e-05,-8.653427023351777e-05,-8.653427023351777e-05,0.00029940556717220843,0.00029940556717220843,0.00029940556717220843,0.0,0.0,0.0,1.3464115024780114
317,2023-09-25 23:00:00,1.3458542514487815,1.3441992291853857,1.3482782404134135,1.3458542514487815,1.3458542514487815,0.000460282032703173,0.000460282032703173,0.000460282032703173,-0.0001363273406802189,-0.0001363273406802189,-0.0001363273406802189,0.0005966093733833924,0.0005966093733833924,0.0005966093733833924,0.0,0.0,0.0,1.3463145334814846
318,2023-09-26 00:00:00,1.3455098717164904,1.3443613594238824,1.3482917208625071,1.3455098717164904,1.3455098717164904,0.0008324689229357423,0.0008324689229357423,0.0008324689229357423,-4.921191992414516e-05,-4.921191992414516e-05,-4.921191992414516e-05,0.0008816808428598874,0.0008816808428598874,0.0008816808428598874,0.0,0.0,0.0,1.3463423406394261
319,2023-09-26 01:00:00,1.3451654919841995,1.3445231079555082,1.3484299933135577,1.3451654919841995,1.3451654919841995,0.0012446208694909047,0.0012446208694909047,0.0012446208694909047,9.25206971375718e-05,9.25206971375718e-05,9.25206971375718e-05,0.001152100172353333,0.001152100172353333,0.001152100172353333,0.0,0.0,0.0,1.3464101128536905
320,2023-09-26 02:00:00,1.3453492892585432,1.344973212594076,1.3490428117199649,1.3453492892585432,1.3453492892585432,0.001587607435961857,0.001587607435961857,0.001587607435961857,0.00018199084501874146,0.00018199084501874146,0.00018199084501874146,0.0014056165909431153,0.0014056165909431153,0.0014056165909431153,0.0,0.0,0.0,1.346936896694505
321,2023-09-26 03:00:00,1.3455330865328872,1.3454232830035007,1.3492600023888692,1.3455330865328872,1.3455330865328872,0.0018167545933494955,0.0018167545933494955,0.0018167545933494955,0.000176485220501411,0.000176485220501411,0.000176485220501411,0.0016402693728480842,0.0016402693728480842,0.0016402693728480842,0.0,0.0,0.0,1.3473498411262366
322,2023-09-26 04:00:00,1.345716883807231,1.345657616652599,1.3495534461137393,1.345716883807231,1.345716883807231,0.001974516827099987,0.001974516827099987,0.001974516827099987,0.00012011214732189868,0.00012011214732189868,0.00012011214732189868,0.0018544046797780878,0.0018544046797780878,0.0018544046797780878,0.0,0.0,0.0,1.347691400634331
323,2023-09-26 05:00:00,1.345900681081575,1.346196934481645,1.350036552965907,1.345900681081575,1.345900681081575,0.002133922402847653,0.002133922402847653,0.002133922402847653,8.723433639286895e-05,8.723433639286895e-05,8.723433639286895e-05,0.0020466880664547844,0.0020466880664547844,0.0020466880664547844,0.0,0.0,0.0,1.3480346034844226
324,2023-09-26 06:00:00,1.346084478355919,1.346441741665289,1.3503789085385187,1.346084478355919,1.346084478355919,0.0023227091680701655,0.0023227091680701655,0.0023227091680701655,0.000106596628442982,0.000106596628442982,0.000106596628442982,0.0022161125396271833,0.0022161125396271833,0.0022161125396271833,0.0,0.0,0.0,1.3484071875239891
325,2023-09-26 07:00:00,1.3462682756302626,1.3467799927666642,1.3506554532458408,1.3462682756302626,1.3462682756302626,0.002500370336267408,0.002500370336267408,0.002500370336267408,0.00013836821680169532,0.00013836821680169532,0.00013836821680169532,0.0023620021194657123,0.0023620021194657123,0.0023620021194657123,0.0,0.0,0.0,1.34876864596653
326,2023-09-26 08:00:00,1.3464520729046068,1.3471311540165065,1.350964385162266,1.3464520729046068,1.3464520729046068,0.002603912030438267,0.002603912030438267,0.002603912030438267,0.000119901118967401,0.000119901118967401,0.000119901118967401,0.0024840109114708654,0.0024840109114708654,0.0024840109114708654,0.0,0.0,0.0,1.349055984935045
327,2023-09-26 09:00:00,1.3466358701789505,1.3473295923896775,1.351391009326774,1.3466358701789505,1.3466358701789505,0.002611301103337784,0.002611301103337784,0.002611301103337784,2.9183348462279192e-05,2.9183348462279192e-05,2.9183348462279192e-05,0.002582117754875505,0.002582117754875505,0.002582117754875505,0.0,0.0,0.0,1.3492471712822882
